"long_dd","lat_dd","poccur","species","aquamaps_id"
-73,76.5,0.03,"Mya arenaria","W-Msc-140430"
-72.5,76.5,0.03,"Mya arenaria","W-Msc-140430"
-72,76.5,0.03,"Mya arenaria","W-Msc-140430"
-71,76.5,0.05,"Mya arenaria","W-Msc-140430"
-70.5,76.5,0.03,"Mya arenaria","W-Msc-140430"
-70,76.5,0.03,"Mya arenaria","W-Msc-140430"
-69.5,76.5,0.03,"Mya arenaria","W-Msc-140430"
-69,76.5,0.02,"Mya arenaria","W-Msc-140430"
-68.5,76.5,0.02,"Mya arenaria","W-Msc-140430"
-68,76.5,0.02,"Mya arenaria","W-Msc-140430"
13.5,76.5,0.33,"Mya arenaria","W-Msc-140430"
14,76.5,0.36,"Mya arenaria","W-Msc-140430"
14.5,76.5,0.38,"Mya arenaria","W-Msc-140430"
15,76.5,0.33,"Mya arenaria","W-Msc-140430"
15.5,76.5,0.36,"Mya arenaria","W-Msc-140430"
16,76.5,0.36,"Mya arenaria","W-Msc-140430"
16.5,76.5,0.31,"Mya arenaria","W-Msc-140430"
17,76.5,0.25,"Mya arenaria","W-Msc-140430"
17.5,76.5,0.16,"Mya arenaria","W-Msc-140430"
18,76.5,0.15,"Mya arenaria","W-Msc-140430"
18.5,76.5,0.12,"Mya arenaria","W-Msc-140430"
19,76.5,0.15,"Mya arenaria","W-Msc-140430"
19.5,76.5,0.1,"Mya arenaria","W-Msc-140430"
20,76.5,0.09,"Mya arenaria","W-Msc-140430"
20.5,76.5,0.11,"Mya arenaria","W-Msc-140430"
21,76.5,0.14,"Mya arenaria","W-Msc-140430"
21.5,76.5,0.12,"Mya arenaria","W-Msc-140430"
22,76.5,0.12,"Mya arenaria","W-Msc-140430"
22.5,76.5,0.12,"Mya arenaria","W-Msc-140430"
23,76.5,0.09,"Mya arenaria","W-Msc-140430"
23.5,76.5,0.08,"Mya arenaria","W-Msc-140430"
24,76.5,0.1,"Mya arenaria","W-Msc-140430"
24.5,76.5,0.09,"Mya arenaria","W-Msc-140430"
25,76.5,0.08,"Mya arenaria","W-Msc-140430"
25.5,76.5,0.08,"Mya arenaria","W-Msc-140430"
26,76.5,0.08,"Mya arenaria","W-Msc-140430"
26.5,76.5,0.07,"Mya arenaria","W-Msc-140430"
27,76.5,0.06,"Mya arenaria","W-Msc-140430"
27.5,76.5,0.06,"Mya arenaria","W-Msc-140430"
28,76.5,0.08,"Mya arenaria","W-Msc-140430"
28.5,76.5,0.08,"Mya arenaria","W-Msc-140430"
29,76.5,0.04,"Mya arenaria","W-Msc-140430"
31.5,76.5,0.1,"Mya arenaria","W-Msc-140430"
32,76.5,0.02,"Mya arenaria","W-Msc-140430"
32.5,76.5,0.04,"Mya arenaria","W-Msc-140430"
33,76.5,0.02,"Mya arenaria","W-Msc-140430"
33.5,76.5,0.06,"Mya arenaria","W-Msc-140430"
34,76.5,0.06,"Mya arenaria","W-Msc-140430"
34.5,76.5,0.06,"Mya arenaria","W-Msc-140430"
35,76.5,0.06,"Mya arenaria","W-Msc-140430"
35.5,76.5,0.06,"Mya arenaria","W-Msc-140430"
36,76.5,0.04,"Mya arenaria","W-Msc-140430"
36.5,76.5,0.03,"Mya arenaria","W-Msc-140430"
37,76.5,0.03,"Mya arenaria","W-Msc-140430"
37.5,76.5,0.03,"Mya arenaria","W-Msc-140430"
38,76.5,0.02,"Mya arenaria","W-Msc-140430"
38.5,76.5,0.01,"Mya arenaria","W-Msc-140430"
39,76.5,0.01,"Mya arenaria","W-Msc-140430"
42,76.5,0.01,"Mya arenaria","W-Msc-140430"
43,76.5,0.02,"Mya arenaria","W-Msc-140430"
43.5,76.5,0.01,"Mya arenaria","W-Msc-140430"
47,76.5,0.03,"Mya arenaria","W-Msc-140430"
47.5,76.5,0.04,"Mya arenaria","W-Msc-140430"
48,76.5,0.03,"Mya arenaria","W-Msc-140430"
53.5,76.5,0.01,"Mya arenaria","W-Msc-140430"
54,76.5,0.06,"Mya arenaria","W-Msc-140430"
54.5,76.5,0.08,"Mya arenaria","W-Msc-140430"
55,76.5,0.1,"Mya arenaria","W-Msc-140430"
55.5,76.5,0.11,"Mya arenaria","W-Msc-140430"
56,76.5,0.13,"Mya arenaria","W-Msc-140430"
56.5,76.5,0.11,"Mya arenaria","W-Msc-140430"
57,76.5,0.09,"Mya arenaria","W-Msc-140430"
57.5,76.5,0.09,"Mya arenaria","W-Msc-140430"
58,76.5,0.09,"Mya arenaria","W-Msc-140430"
58.5,76.5,0.06,"Mya arenaria","W-Msc-140430"
59,76.5,0.04,"Mya arenaria","W-Msc-140430"
59.5,76.5,0.07,"Mya arenaria","W-Msc-140430"
60,76.5,0.04,"Mya arenaria","W-Msc-140430"
60.5,76.5,0.07,"Mya arenaria","W-Msc-140430"
61,76.5,0.08,"Mya arenaria","W-Msc-140430"
61.5,76.5,0.08,"Mya arenaria","W-Msc-140430"
62,76.5,0.06,"Mya arenaria","W-Msc-140430"
62.5,76.5,0.05,"Mya arenaria","W-Msc-140430"
63,76.5,0.03,"Mya arenaria","W-Msc-140430"
63.5,76.5,0.05,"Mya arenaria","W-Msc-140430"
64,76.5,0.09,"Mya arenaria","W-Msc-140430"
64.5,76.5,0.09,"Mya arenaria","W-Msc-140430"
65,76.5,0.1,"Mya arenaria","W-Msc-140430"
65.5,76.5,0.1,"Mya arenaria","W-Msc-140430"
66,76.5,0.1,"Mya arenaria","W-Msc-140430"
66.5,76.5,0.06,"Mya arenaria","W-Msc-140430"
67,76.5,0.05,"Mya arenaria","W-Msc-140430"
67.5,76.5,0.04,"Mya arenaria","W-Msc-140430"
69,76.5,0.04,"Mya arenaria","W-Msc-140430"
69.5,76.5,0.05,"Mya arenaria","W-Msc-140430"
70,76.5,0.03,"Mya arenaria","W-Msc-140430"
70.5,76.5,0.03,"Mya arenaria","W-Msc-140430"
