"long_dd","lat_dd","poccur","species","aquamaps_id"
-148,60.5,0.24,"Doryteuthis opalescens","SLB-188229"
-147.5,60.5,0.26,"Doryteuthis opalescens","SLB-188229"
-147,60.5,0.37,"Doryteuthis opalescens","SLB-188229"
-146.5,60.5,0.59,"Doryteuthis opalescens","SLB-188229"
-148,60,0.45,"Doryteuthis opalescens","SLB-188229"
-147.5,60,0.34,"Doryteuthis opalescens","SLB-188229"
-147,60,0.45,"Doryteuthis opalescens","SLB-188229"
-146.5,60,0.58,"Doryteuthis opalescens","SLB-188229"
-146,60,0.75,"Doryteuthis opalescens","SLB-188229"
-145.5,60,0.73,"Doryteuthis opalescens","SLB-188229"
-145,60,0.7,"Doryteuthis opalescens","SLB-188229"
-144.5,60,0.7,"Doryteuthis opalescens","SLB-188229"
-149.5,59.5,0.56,"Doryteuthis opalescens","SLB-188229"
-149,59.5,0.61,"Doryteuthis opalescens","SLB-188229"
-148.5,59.5,0.64,"Doryteuthis opalescens","SLB-188229"
-148,59.5,0.62,"Doryteuthis opalescens","SLB-188229"
-147.5,59.5,0.58,"Doryteuthis opalescens","SLB-188229"
-147,59.5,0.62,"Doryteuthis opalescens","SLB-188229"
-146.5,59.5,0.69,"Doryteuthis opalescens","SLB-188229"
-146,59.5,0.79,"Doryteuthis opalescens","SLB-188229"
-145.5,59.5,0.81,"Doryteuthis opalescens","SLB-188229"
-145,59.5,0.81,"Doryteuthis opalescens","SLB-188229"
-144.5,59.5,0.8,"Doryteuthis opalescens","SLB-188229"
-144,59.5,0.81,"Doryteuthis opalescens","SLB-188229"
-143.5,59.5,0.87,"Doryteuthis opalescens","SLB-188229"
-143,59.5,0.9,"Doryteuthis opalescens","SLB-188229"
-142.5,59.5,0.88,"Doryteuthis opalescens","SLB-188229"
-142,59.5,0.88,"Doryteuthis opalescens","SLB-188229"
-141.5,59.5,0.84,"Doryteuthis opalescens","SLB-188229"
-141,59.5,0.84,"Doryteuthis opalescens","SLB-188229"
-140,59.5,0.76,"Doryteuthis opalescens","SLB-188229"
-139.5,59.5,0.72,"Doryteuthis opalescens","SLB-188229"
-151,59,0.41,"Doryteuthis opalescens","SLB-188229"
-150.5,59,0.54,"Doryteuthis opalescens","SLB-188229"
-150,59,0.56,"Doryteuthis opalescens","SLB-188229"
-149.5,59,0.63,"Doryteuthis opalescens","SLB-188229"
-149,59,0.64,"Doryteuthis opalescens","SLB-188229"
-148.5,59,0.53,"Doryteuthis opalescens","SLB-188229"
-148,59,0.59,"Doryteuthis opalescens","SLB-188229"
-147.5,59,0.73,"Doryteuthis opalescens","SLB-188229"
-147,59,0.69,"Doryteuthis opalescens","SLB-188229"
-146.5,59,0.8,"Doryteuthis opalescens","SLB-188229"
-146,59,0.81,"Doryteuthis opalescens","SLB-188229"
-145.5,59,0.63,"Doryteuthis opalescens","SLB-188229"
-141.5,59,0.06,"Doryteuthis opalescens","SLB-188229"
-141,59,0.14,"Doryteuthis opalescens","SLB-188229"
-140.5,59,0.63,"Doryteuthis opalescens","SLB-188229"
-140,59,0.92,"Doryteuthis opalescens","SLB-188229"
-139.5,59,0.94,"Doryteuthis opalescens","SLB-188229"
-139,59,0.9,"Doryteuthis opalescens","SLB-188229"
-151,58.5,0.32,"Doryteuthis opalescens","SLB-188229"
-150.5,58.5,0.39,"Doryteuthis opalescens","SLB-188229"
-150,58.5,0.48,"Doryteuthis opalescens","SLB-188229"
