"long_dd","lat_dd","poccur","species","aquamaps_id"
-59,53.5,0.01,"Crassostrea virginica","W-Msc-140657"
-58.5,53.5,0.02,"Crassostrea virginica","W-Msc-140657"
-57,53.5,0.01,"Crassostrea virginica","W-Msc-140657"
-60,53,0.01,"Crassostrea virginica","W-Msc-140657"
-59.5,53,0.02,"Crassostrea virginica","W-Msc-140657"
-55.5,52.5,0.02,"Crassostrea virginica","W-Msc-140657"
-56,52,0.01,"Crassostrea virginica","W-Msc-140657"
-55.5,52,0.03,"Crassostrea virginica","W-Msc-140657"
-55,52,0.02,"Crassostrea virginica","W-Msc-140657"
-57,51.5,0.08,"Crassostrea virginica","W-Msc-140657"
-56.5,51.5,0.13,"Crassostrea virginica","W-Msc-140657"
-56,51.5,0.09,"Crassostrea virginica","W-Msc-140657"
-55.5,51.5,0.07,"Crassostrea virginica","W-Msc-140657"
-55,51.5,0.05,"Crassostrea virginica","W-Msc-140657"
-58.5,51,0.31,"Crassostrea virginica","W-Msc-140657"
-58,51,0.34,"Crassostrea virginica","W-Msc-140657"
-57.5,51,0.31,"Crassostrea virginica","W-Msc-140657"
-57,51,0.21,"Crassostrea virginica","W-Msc-140657"
-56.5,51,0.2,"Crassostrea virginica","W-Msc-140657"
-56,51,0.17,"Crassostrea virginica","W-Msc-140657"
-55.5,51,0.18,"Crassostrea virginica","W-Msc-140657"
-55,51,0.11,"Crassostrea virginica","W-Msc-140657"
-59.5,50.5,0.38,"Crassostrea virginica","W-Msc-140657"
-59,50.5,0.39,"Crassostrea virginica","W-Msc-140657"
-58.5,50.5,0.41,"Crassostrea virginica","W-Msc-140657"
-58,50.5,0.04,"Crassostrea virginica","W-Msc-140657"
-57.5,50.5,0.27,"Crassostrea virginica","W-Msc-140657"
-57,50.5,0.34,"Crassostrea virginica","W-Msc-140657"
-56.5,50.5,0.3,"Crassostrea virginica","W-Msc-140657"
-56,50.5,0.23,"Crassostrea virginica","W-Msc-140657"
-55.5,50.5,0.22,"Crassostrea virginica","W-Msc-140657"
-55,50.5,0.18,"Crassostrea virginica","W-Msc-140657"
-66.5,50,0.13,"Crassostrea virginica","W-Msc-140657"
-66,50,0.19,"Crassostrea virginica","W-Msc-140657"
-65.5,50,0.28,"Crassostrea virginica","W-Msc-140657"
-65,50,0.39,"Crassostrea virginica","W-Msc-140657"
-64.5,50,0.47,"Crassostrea virginica","W-Msc-140657"
-64,50,0.47,"Crassostrea virginica","W-Msc-140657"
-63.5,50,0.45,"Crassostrea virginica","W-Msc-140657"
-63,50,0.5,"Crassostrea virginica","W-Msc-140657"
-62.5,50,0.52,"Crassostrea virginica","W-Msc-140657"
-62,50,0.51,"Crassostrea virginica","W-Msc-140657"
-61.5,50,0.49,"Crassostrea virginica","W-Msc-140657"
-61,50,0.49,"Crassostrea virginica","W-Msc-140657"
-60.5,50,0.48,"Crassostrea virginica","W-Msc-140657"
-60,50,0.46,"Crassostrea virginica","W-Msc-140657"
-59.5,50,0.44,"Crassostrea virginica","W-Msc-140657"
-59,50,0.45,"Crassostrea virginica","W-Msc-140657"
-58.5,50,0.25,"Crassostrea virginica","W-Msc-140657"
-57.5,50,0.53,"Crassostrea virginica","W-Msc-140657"
-57,50,0.43,"Crassostrea virginica","W-Msc-140657"
-56.5,50,0.37,"Crassostrea virginica","W-Msc-140657"
-56,50,0.31,"Crassostrea virginica","W-Msc-140657"
-55.5,50,0.3,"Crassostrea virginica","W-Msc-140657"
-55,50,0.28,"Crassostrea virginica","W-Msc-140657"
-67,49.5,0.11,"Crassostrea virginica","W-Msc-140657"
-66.5,49.5,0.09,"Crassostrea virginica","W-Msc-140657"
-64.5,49.5,0.32,"Crassostrea virginica","W-Msc-140657"
-64,49.5,0.44,"Crassostrea virginica","W-Msc-140657"
-63.5,49.5,0.49,"Crassostrea virginica","W-Msc-140657"
-63,49.5,0.38,"Crassostrea virginica","W-Msc-140657"
-62.5,49.5,0.41,"Crassostrea virginica","W-Msc-140657"
-62,49.5,0.54,"Crassostrea virginica","W-Msc-140657"
-61.5,49.5,0.23,"Crassostrea virginica","W-Msc-140657"
-61,49.5,0.07,"Crassostrea virginica","W-Msc-140657"
-60.5,49.5,0.06,"Crassostrea virginica","W-Msc-140657"
-60,49.5,0.05,"Crassostrea virginica","W-Msc-140657"
-58,49.5,0.63,"Crassostrea virginica","W-Msc-140657"
-57.5,49.5,0.61,"Crassostrea virginica","W-Msc-140657"
-56.5,49.5,0.38,"Crassostrea virginica","W-Msc-140657"
-56,49.5,0.4,"Crassostrea virginica","W-Msc-140657"
-55.5,49.5,0.43,"Crassostrea virginica","W-Msc-140657"
-55,49.5,0.43,"Crassostrea virginica","W-Msc-140657"
-54.5,49.5,0.42,"Crassostrea virginica","W-Msc-140657"
-54,49.5,0.41,"Crassostrea virginica","W-Msc-140657"
-53.5,49.5,0.38,"Crassostrea virginica","W-Msc-140657"
-53,49.5,0.33,"Crassostrea virginica","W-Msc-140657"
-68.5,49,0.04,"Crassostrea virginica","W-Msc-140657"
-68,49,0.06,"Crassostrea virginica","W-Msc-140657"
-67.5,49,0.09,"Crassostrea virginica","W-Msc-140657"
-67,49,0.04,"Crassostrea virginica","W-Msc-140657"
-65,49,0.04,"Crassostrea virginica","W-Msc-140657"
-64.5,49,0.2,"Crassostrea virginica","W-Msc-140657"
-64,49,0.38,"Crassostrea virginica","W-Msc-140657"
-63.5,49,0.59,"Crassostrea virginica","W-Msc-140657"
-63,49,0.61,"Crassostrea virginica","W-Msc-140657"
-62.5,49,0.59,"Crassostrea virginica","W-Msc-140657"
-62,49,0.61,"Crassostrea virginica","W-Msc-140657"
-61.5,49,0.6,"Crassostrea virginica","W-Msc-140657"
-61,49,0.59,"Crassostrea virginica","W-Msc-140657"
-59,49,0.33,"Crassostrea virginica","W-Msc-140657"
-58.5,49,0.67,"Crassostrea virginica","W-Msc-140657"
-58,49,0.67,"Crassostrea virginica","W-Msc-140657"
-57.5,49,0.08,"Crassostrea virginica","W-Msc-140657"
-56,49,0.06,"Crassostrea virginica","W-Msc-140657"
-55.5,49,0.06,"Crassostrea virginica","W-Msc-140657"
-55,49,0.25,"Crassostrea virginica","W-Msc-140657"
-54.5,49,0.48,"Crassostrea virginica","W-Msc-140657"
-54,49,0.47,"Crassostrea virginica","W-Msc-140657"
-53.5,49,0.46,"Crassostrea virginica","W-Msc-140657"
-53,49,0.41,"Crassostrea virginica","W-Msc-140657"
-69,48.5,0.02,"Crassostrea virginica","W-Msc-140657"
-68.5,48.5,0.04,"Crassostrea virginica","W-Msc-140657"
-64,48.5,0.38,"Crassostrea virginica","W-Msc-140657"
-63.5,48.5,0.46,"Crassostrea virginica","W-Msc-140657"
-61.5,48.5,0.1,"Crassostrea virginica","W-Msc-140657"
-61,48.5,0.28,"Crassostrea virginica","W-Msc-140657"
-59,48.5,0.72,"Crassostrea virginica","W-Msc-140657"
-58.5,48.5,0.73,"Crassostrea virginica","W-Msc-140657"
-58,48.5,0.7,"Crassostrea virginica","W-Msc-140657"
-54,48.5,0.07,"Crassostrea virginica","W-Msc-140657"
-53.5,48.5,0.52,"Crassostrea virginica","W-Msc-140657"
-53,48.5,0.48,"Crassostrea virginica","W-Msc-140657"
-52.5,48.5,0.41,"Crassostrea virginica","W-Msc-140657"
-69.5,48,0.01,"Crassostrea virginica","W-Msc-140657"
-69,48,0.01,"Crassostrea virginica","W-Msc-140657"
-66.5,48,0.02,"Crassostrea virginica","W-Msc-140657"
-66,48,0.19,"Crassostrea virginica","W-Msc-140657"
-65.5,48,0.3,"Crassostrea virginica","W-Msc-140657"
-65,48,0.43,"Crassostrea virginica","W-Msc-140657"
-64.5,48,0.69,"Crassostrea virginica","W-Msc-140657"
-64,48,0.63,"Crassostrea virginica","W-Msc-140657"
-63.5,48,0.4,"Crassostrea virginica","W-Msc-140657"
-63,48,0.68,"Crassostrea virginica","W-Msc-140657"
-62.5,48,0.31,"Crassostrea virginica","W-Msc-140657"
-62,48,0.34,"Crassostrea virginica","W-Msc-140657"
-61.5,48,0.36,"Crassostrea virginica","W-Msc-140657"
-61,48,0.36,"Crassostrea virginica","W-Msc-140657"
-59,48,0.76,"Crassostrea virginica","W-Msc-140657"
-58.5,48,0.75,"Crassostrea virginica","W-Msc-140657"
-58,48,0.74,"Crassostrea virginica","W-Msc-140657"
-54,48,0.07,"Crassostrea virginica","W-Msc-140657"
-53.5,48,0.57,"Crassostrea virginica","W-Msc-140657"
-53,48,0.53,"Crassostrea virginica","W-Msc-140657"
-52.5,48,0.48,"Crassostrea virginica","W-Msc-140657"
-69.5,47.5,0.01,"Crassostrea virginica","W-Msc-140657"
-69,47.5,0.02,"Crassostrea virginica","W-Msc-140657"
-66,47.5,0.38,"Crassostrea virginica","W-Msc-140657"
-65.5,47.5,0.65,"Crassostrea virginica","W-Msc-140657"
-65,47.5,0.62,"Crassostrea virginica","W-Msc-140657"
-64.5,47.5,0.64,"Crassostrea virginica","W-Msc-140657"
