"long_dd","lat_dd","poccur","species","aquamaps_id"
-147,60.5,0.02,"Ostrea lurida","W-Msc-542155"
-146.5,60.5,0.29,"Ostrea lurida","W-Msc-542155"
-148.5,60,0.04,"Ostrea lurida","W-Msc-542155"
-148,60,0.24,"Ostrea lurida","W-Msc-542155"
-147.5,60,0.02,"Ostrea lurida","W-Msc-542155"
-147,60,0.1,"Ostrea lurida","W-Msc-542155"
-146.5,60,0.24,"Ostrea lurida","W-Msc-542155"
-146,60,0.71,"Ostrea lurida","W-Msc-542155"
-145.5,60,0.78,"Ostrea lurida","W-Msc-542155"
-145,60,0.77,"Ostrea lurida","W-Msc-542155"
-144.5,60,0.77,"Ostrea lurida","W-Msc-542155"
-149.5,59.5,0.69,"Ostrea lurida","W-Msc-542155"
-149,59.5,0.63,"Ostrea lurida","W-Msc-542155"
-148.5,59.5,0.6,"Ostrea lurida","W-Msc-542155"
-148,59.5,0.4,"Ostrea lurida","W-Msc-542155"
-147.5,59.5,0.3,"Ostrea lurida","W-Msc-542155"
-147,59.5,0.28,"Ostrea lurida","W-Msc-542155"
-146.5,59.5,0.27,"Ostrea lurida","W-Msc-542155"
-146,59.5,0.46,"Ostrea lurida","W-Msc-542155"
-145.5,59.5,0.02,"Ostrea lurida","W-Msc-542155"
-145,59.5,0.07,"Ostrea lurida","W-Msc-542155"
-144.5,59.5,0.81,"Ostrea lurida","W-Msc-542155"
-144,59.5,0.82,"Ostrea lurida","W-Msc-542155"
-143.5,59.5,0.84,"Ostrea lurida","W-Msc-542155"
-142,59.5,0.84,"Ostrea lurida","W-Msc-542155"
-141.5,59.5,0.83,"Ostrea lurida","W-Msc-542155"
-141,59.5,0.83,"Ostrea lurida","W-Msc-542155"
-140,59.5,0.8,"Ostrea lurida","W-Msc-542155"
-139.5,59.5,0.78,"Ostrea lurida","W-Msc-542155"
-151,59,0.35,"Ostrea lurida","W-Msc-542155"
-150.5,59,0.5,"Ostrea lurida","W-Msc-542155"
-150,59,0.38,"Ostrea lurida","W-Msc-542155"
-146.5,59,0.09,"Ostrea lurida","W-Msc-542155"
-146,59,0.82,"Ostrea lurida","W-Msc-542155"
-139.5,59,0.61,"Ostrea lurida","W-Msc-542155"
-139,59,0.83,"Ostrea lurida","W-Msc-542155"
-150,58.5,0.07,"Ostrea lurida","W-Msc-542155"
-138.5,58.5,0.12,"Ostrea lurida","W-Msc-542155"
-138,58.5,0.87,"Ostrea lurida","W-Msc-542155"
-137.5,58.5,0.82,"Ostrea lurida","W-Msc-542155"
-137,58.5,0.77,"Ostrea lurida","W-Msc-542155"
-136,58.5,0.68,"Ostrea lurida","W-Msc-542155"
-135,58.5,0.69,"Ostrea lurida","W-Msc-542155"
-150,58,0.04,"Ostrea lurida","W-Msc-542155"
-149.5,58,0.1,"Ostrea lurida","W-Msc-542155"
-139,58,0.73,"Ostrea lurida","W-Msc-542155"
-138.5,58,0.71,"Ostrea lurida","W-Msc-542155"
-138,58,0.18,"Ostrea lurida","W-Msc-542155"
-137,58,0.85,"Ostrea lurida","W-Msc-542155"
-136.5,58,0.8,"Ostrea lurida","W-Msc-542155"
-136,58,0.72,"Ostrea lurida","W-Msc-542155"
-135.5,58,0.68,"Ostrea lurida","W-Msc-542155"
-135,58,0.69,"Ostrea lurida","W-Msc-542155"
-134.5,58,0.68,"Ostrea lurida","W-Msc-542155"
-134,58,0.67,"Ostrea lurida","W-Msc-542155"
-150,57.5,0.01,"Ostrea lurida","W-Msc-542155"
-136.5,57.5,0.88,"Ostrea lurida","W-Msc-542155"
-136,57.5,0.83,"Ostrea lurida","W-Msc-542155"
-135.5,57.5,0.77,"Ostrea lurida","W-Msc-542155"
-135,57.5,0.73,"Ostrea lurida","W-Msc-542155"
-134.5,57.5,0.69,"Ostrea lurida","W-Msc-542155"
-134,57.5,0.67,"Ostrea lurida","W-Msc-542155"
-133.5,57.5,0.66,"Ostrea lurida","W-Msc-542155"
-136,57,0.66,"Ostrea lurida","W-Msc-542155"
-135.5,57,0.85,"Ostrea lurida","W-Msc-542155"
-135,57,0.78,"Ostrea lurida","W-Msc-542155"
-134.5,57,0.71,"Ostrea lurida","W-Msc-542155"
-134,57,0.68,"Ostrea lurida","W-Msc-542155"
-133.5,57,0.66,"Ostrea lurida","W-Msc-542155"
-133,57,0.67,"Ostrea lurida","W-Msc-542155"
-151.5,56.5,0.01,"Ostrea lurida","W-Msc-542155"
-135.5,56.5,0.89,"Ostrea lurida","W-Msc-542155"
-135,56.5,0.84,"Ostrea lurida","W-Msc-542155"
-134.5,56.5,0.72,"Ostrea lurida","W-Msc-542155"
-134,56.5,0.71,"Ostrea lurida","W-Msc-542155"
-133.5,56.5,0.69,"Ostrea lurida","W-Msc-542155"
-133,56.5,0.71,"Ostrea lurida","W-Msc-542155"
-132.5,56.5,0.74,"Ostrea lurida","W-Msc-542155"
-134.5,56,0.76,"Ostrea lurida","W-Msc-542155"
-134,56,0.75,"Ostrea lurida","W-Msc-542155"
-133.5,56,0.73,"Ostrea lurida","W-Msc-542155"
-133,56,0.75,"Ostrea lurida","W-Msc-542155"
