"long_dd","lat_dd","poccur","species","aquamaps_id"
-135.5,56.5,0.83,"Rhacochilus vacca","Fis-24933"
-135,56.5,0.78,"Rhacochilus vacca","Fis-24933"
-134.5,56.5,0.66,"Rhacochilus vacca","Fis-24933"
-134,56.5,0.65,"Rhacochilus vacca","Fis-24933"
-133.5,56.5,0.63,"Rhacochilus vacca","Fis-24933"
-133,56.5,0.65,"Rhacochilus vacca","Fis-24933"
-132.5,56.5,0.67,"Rhacochilus vacca","Fis-24933"
-134.5,56,0.75,"Rhacochilus vacca","Fis-24933"
-134,56,0.69,"Rhacochilus vacca","Fis-24933"
-133.5,56,0.67,"Rhacochilus vacca","Fis-24933"
-133,56,0.69,"Rhacochilus vacca","Fis-24933"
-132.5,56,0.74,"Rhacochilus vacca","Fis-24933"
-132,56,0.76,"Rhacochilus vacca","Fis-24933"
-134.5,55.5,0.74,"Rhacochilus vacca","Fis-24933"
-134,55.5,0.8,"Rhacochilus vacca","Fis-24933"
-133.5,55.5,0.79,"Rhacochilus vacca","Fis-24933"
-133,55.5,0.79,"Rhacochilus vacca","Fis-24933"
-132.5,55.5,0.81,"Rhacochilus vacca","Fis-24933"
-132,55.5,0.85,"Rhacochilus vacca","Fis-24933"
-131.5,55.5,0.87,"Rhacochilus vacca","Fis-24933"
-133.5,55,0.85,"Rhacochilus vacca","Fis-24933"
-133,55,0.83,"Rhacochilus vacca","Fis-24933"
-132.5,55,0.84,"Rhacochilus vacca","Fis-24933"
-132,55,0.86,"Rhacochilus vacca","Fis-24933"
-131.5,55,0.88,"Rhacochilus vacca","Fis-24933"
-131,55,0.88,"Rhacochilus vacca","Fis-24933"
-130.5,55,0.87,"Rhacochilus vacca","Fis-24933"
-130,55,0.83,"Rhacochilus vacca","Fis-24933"
-129.5,55,0.81,"Rhacochilus vacca","Fis-24933"
-133.5,54.5,0.88,"Rhacochilus vacca","Fis-24933"
-133,54.5,0.84,"Rhacochilus vacca","Fis-24933"
-132.5,54.5,0.84,"Rhacochilus vacca","Fis-24933"
-132,54.5,0.86,"Rhacochilus vacca","Fis-24933"
-131.5,54.5,0.89,"Rhacochilus vacca","Fis-24933"
-131,54.5,0.89,"Rhacochilus vacca","Fis-24933"
-130.5,54.5,0.88,"Rhacochilus vacca","Fis-24933"
-130,54.5,0.84,"Rhacochilus vacca","Fis-24933"
-129.5,54.5,0.85,"Rhacochilus vacca","Fis-24933"
-133,54,0.85,"Rhacochilus vacca","Fis-24933"
-132.5,54,0.82,"Rhacochilus vacca","Fis-24933"
-132,54,0.75,"Rhacochilus vacca","Fis-24933"
-131.5,54,0.8,"Rhacochilus vacca","Fis-24933"
-131,54,0.9,"Rhacochilus vacca","Fis-24933"
-130.5,54,0.9,"Rhacochilus vacca","Fis-24933"
-130,54,0.86,"Rhacochilus vacca","Fis-24933"
-129.5,54,0.87,"Rhacochilus vacca","Fis-24933"
-133,53.5,0.96,"Rhacochilus vacca","Fis-24933"
-132.5,53.5,0.93,"Rhacochilus vacca","Fis-24933"
-132,53.5,0.85,"Rhacochilus vacca","Fis-24933"
-131.5,53.5,0.82,"Rhacochilus vacca","Fis-24933"
-131,53.5,0.93,"Rhacochilus vacca","Fis-24933"
-130.5,53.5,0.91,"Rhacochilus vacca","Fis-24933"
-130,53.5,0.88,"Rhacochilus vacca","Fis-24933"
-129.5,53.5,0.89,"Rhacochilus vacca","Fis-24933"
-129,53.5,0.89,"Rhacochilus vacca","Fis-24933"
-128.5,53.5,0.88,"Rhacochilus vacca","Fis-24933"
-132.5,53,0.97,"Rhacochilus vacca","Fis-24933"
-132,53,0.96,"Rhacochilus vacca","Fis-24933"
-131.5,53,0.98,"Rhacochilus vacca","Fis-24933"
-131,53,0.77,"Rhacochilus vacca","Fis-24933"
-130.5,53,0.64,"Rhacochilus vacca","Fis-24933"
-130,53,0.92,"Rhacochilus vacca","Fis-24933"
-129.5,53,0.9,"Rhacochilus vacca","Fis-24933"
-129,53,0.91,"Rhacochilus vacca","Fis-24933"
-128.5,53,0.23,"Rhacochilus vacca","Fis-24933"
-132,52.5,0.98,"Rhacochilus vacca","Fis-24933"
-131.5,52.5,0.97,"Rhacochilus vacca","Fis-24933"
-131,52.5,0.98,"Rhacochilus vacca","Fis-24933"
-130.5,52.5,0.57,"Rhacochilus vacca","Fis-24933"
-129.5,52.5,0.65,"Rhacochilus vacca","Fis-24933"
-129,52.5,0.94,"Rhacochilus vacca","Fis-24933"
-128.5,52.5,0.96,"Rhacochilus vacca","Fis-24933"
-128,52.5,0.96,"Rhacochilus vacca","Fis-24933"
-131.5,52,0.95,"Rhacochilus vacca","Fis-24933"
-131,52,0.94,"Rhacochilus vacca","Fis-24933"
-130.5,52,0.69,"Rhacochilus vacca","Fis-24933"
-129,52,0.7,"Rhacochilus vacca","Fis-24933"
-128.5,52,1,"Rhacochilus vacca","Fis-24933"
-128,52,1,"Rhacochilus vacca","Fis-24933"
-127.5,52,0.98,"Rhacochilus vacca","Fis-24933"
-131,51.5,0.67,"Rhacochilus vacca","Fis-24933"
-130.5,51.5,0.68,"Rhacochilus vacca","Fis-24933"
-128.5,51.5,0.5,"Rhacochilus vacca","Fis-24933"
-128,51.5,1,"Rhacochilus vacca","Fis-24933"
-127.5,51.5,0.98,"Rhacochilus vacca","Fis-24933"
-127,51.5,0.24,"Rhacochilus vacca","Fis-24933"
-128,51,1,"Rhacochilus vacca","Fis-24933"
-127.5,51,0.98,"Rhacochilus vacca","Fis-24933"
-127,51,0.94,"Rhacochilus vacca","Fis-24933"
-129,50.5,0.72,"Rhacochilus vacca","Fis-24933"
-128.5,50.5,1,"Rhacochilus vacca","Fis-24933"
-128,50.5,1,"Rhacochilus vacca","Fis-24933"
-127.5,50.5,0.95,"Rhacochilus vacca","Fis-24933"
-127,50.5,0.88,"Rhacochilus vacca","Fis-24933"
-126.5,50.5,0.87,"Rhacochilus vacca","Fis-24933"
-126,50.5,0.9,"Rhacochilus vacca","Fis-24933"
-128,50,1,"Rhacochilus vacca","Fis-24933"
