"long_dd","lat_dd","poccur","species","aquamaps_id"
-144.5,60,0.25,"Sardinops sagax","Fis-54081"
-144,60,0.3,"Sardinops sagax","Fis-54081"
-143.5,60,0.33,"Sardinops sagax","Fis-54081"
-143,60,0.35,"Sardinops sagax","Fis-54081"
-142.5,60,0.36,"Sardinops sagax","Fis-54081"
-142,60,0.37,"Sardinops sagax","Fis-54081"
-141.5,60,0.36,"Sardinops sagax","Fis-54081"
-141,60,0.35,"Sardinops sagax","Fis-54081"
-139.5,60,0.3,"Sardinops sagax","Fis-54081"
-139,60,0.27,"Sardinops sagax","Fis-54081"
-144.5,59.5,0.47,"Sardinops sagax","Fis-54081"
-144,59.5,0.46,"Sardinops sagax","Fis-54081"
-143.5,59.5,0.52,"Sardinops sagax","Fis-54081"
-143,59.5,0.55,"Sardinops sagax","Fis-54081"
-142.5,59.5,0.53,"Sardinops sagax","Fis-54081"
-142,59.5,0.53,"Sardinops sagax","Fis-54081"
-141.5,59.5,0.5,"Sardinops sagax","Fis-54081"
-141,59.5,0.48,"Sardinops sagax","Fis-54081"
-140.5,59.5,0.46,"Sardinops sagax","Fis-54081"
-140,59.5,0.45,"Sardinops sagax","Fis-54081"
-139.5,59.5,0.43,"Sardinops sagax","Fis-54081"
-139,59.5,0.37,"Sardinops sagax","Fis-54081"
-138.5,59.5,0.02,"Sardinops sagax","Fis-54081"
167,59.5,0.01,"Sardinops sagax","Fis-54081"
167.5,59.5,0.01,"Sardinops sagax","Fis-54081"
168,59.5,0.02,"Sardinops sagax","Fis-54081"
-142,59,0.08,"Sardinops sagax","Fis-54081"
-141.5,59,0.14,"Sardinops sagax","Fis-54081"
-141,59,0.18,"Sardinops sagax","Fis-54081"
-140.5,59,0.4,"Sardinops sagax","Fis-54081"
-140,59,0.55,"Sardinops sagax","Fis-54081"
-139.5,59,0.5,"Sardinops sagax","Fis-54081"
-139,59,0.4,"Sardinops sagax","Fis-54081"
-138.5,59,0.42,"Sardinops sagax","Fis-54081"
-138,59,0.39,"Sardinops sagax","Fis-54081"
-137,59,0.01,"Sardinops sagax","Fis-54081"
-136.5,59,0.03,"Sardinops sagax","Fis-54081"
-136,59,0.03,"Sardinops sagax","Fis-54081"
-135.5,59,0.01,"Sardinops sagax","Fis-54081"
-135,59,0.21,"Sardinops sagax","Fis-54081"
166,59,0.01,"Sardinops sagax","Fis-54081"
