"long_dd","lat_dd","poccur","species","aquamaps_id"
-127.5,49.5,0.01,"Loxorhynchus grandis","W-Bch-441602"
-124,44,0.1,"Loxorhynchus grandis","W-Bch-441602"
-124.5,43.5,0.04,"Loxorhynchus grandis","W-Bch-441602"
-124,43.5,0.24,"Loxorhynchus grandis","W-Bch-441602"
-124.5,43,0.32,"Loxorhynchus grandis","W-Bch-441602"
-124,43,0.31,"Loxorhynchus grandis","W-Bch-441602"
-124.5,42.5,0.39,"Loxorhynchus grandis","W-Bch-441602"
-124,42.5,0.4,"Loxorhynchus grandis","W-Bch-441602"
-124.5,42,0.48,"Loxorhynchus grandis","W-Bch-441602"
-124,42,0.49,"Loxorhynchus grandis","W-Bch-441602"
-124,41.5,0.46,"Loxorhynchus grandis","W-Bch-441602"
-124.5,41,0.64,"Loxorhynchus grandis","W-Bch-441602"
-124,41,0.56,"Loxorhynchus grandis","W-Bch-441602"
-124.5,40.5,0.62,"Loxorhynchus grandis","W-Bch-441602"
-124,40.5,0.53,"Loxorhynchus grandis","W-Bch-441602"
-124.5,40,0.29,"Loxorhynchus grandis","W-Bch-441602"
-124,40,0.57,"Loxorhynchus grandis","W-Bch-441602"
-124,39.5,0.62,"Loxorhynchus grandis","W-Bch-441602"
-123.5,39.5,0.62,"Loxorhynchus grandis","W-Bch-441602"
-123.5,39,0.63,"Loxorhynchus grandis","W-Bch-441602"
-123.5,38.5,0.64,"Loxorhynchus grandis","W-Bch-441602"
-123,38.5,0.67,"Loxorhynchus grandis","W-Bch-441602"
-123,38,0.58,"Loxorhynchus grandis","W-Bch-441602"
-123,37.5,0.79,"Loxorhynchus grandis","W-Bch-441602"
-122,36.5,0.93,"Loxorhynchus grandis","W-Bch-441602"
-121.5,36,1,"Loxorhynchus grandis","W-Bch-441602"
-121,36,1,"Loxorhynchus grandis","W-Bch-441602"
-121,35.5,1,"Loxorhynchus grandis","W-Bch-441602"
-121,35,0.69,"Loxorhynchus grandis","W-Bch-441602"
-120.5,35,1,"Loxorhynchus grandis","W-Bch-441602"
-120.5,34.5,1,"Loxorhynchus grandis","W-Bch-441602"
-120,34.5,1,"Loxorhynchus grandis","W-Bch-441602"
-120.5,34,0.38,"Loxorhynchus grandis","W-Bch-441602"
-120,34,1,"Loxorhynchus grandis","W-Bch-441602"
-119.5,34,1,"Loxorhynchus grandis","W-Bch-441602"
-119,34,1,"Loxorhynchus grandis","W-Bch-441602"
-118.5,34,1,"Loxorhynchus grandis","W-Bch-441602"
-118,34,0.67,"Loxorhynchus grandis","W-Bch-441602"
-120,33.5,0.27,"Loxorhynchus grandis","W-Bch-441602"
-119.5,33.5,0.4,"Loxorhynchus grandis","W-Bch-441602"
-119,33.5,0.44,"Loxorhynchus grandis","W-Bch-441602"
-118.5,33.5,1,"Loxorhynchus grandis","W-Bch-441602"
-118,33.5,1,"Loxorhynchus grandis","W-Bch-441602"
-117.5,33.5,1,"Loxorhynchus grandis","W-Bch-441602"
-118,33,0.27,"Loxorhynchus grandis","W-Bch-441602"
-117.5,33,1,"Loxorhynchus grandis","W-Bch-441602"
-117,33,0.69,"Loxorhynchus grandis","W-Bch-441602"
-117,32.5,1,"Loxorhynchus grandis","W-Bch-441602"
-117,32,1,"Loxorhynchus grandis","W-Bch-441602"
-116.5,32,0.95,"Loxorhynchus grandis","W-Bch-441602"
-116.5,31.5,1,"Loxorhynchus grandis","W-Bch-441602"
-116.5,31,1,"Loxorhynchus grandis","W-Bch-441602"
-116,31,0.74,"Loxorhynchus grandis","W-Bch-441602"
-116,30.5,1,"Loxorhynchus grandis","W-Bch-441602"
-115.5,30.5,0.18,"Loxorhynchus grandis","W-Bch-441602"
-116,30,0.92,"Loxorhynchus grandis","W-Bch-441602"
-115.5,30,0.58,"Loxorhynchus grandis","W-Bch-441602"
-115.5,29.5,1,"Loxorhynchus grandis","W-Bch-441602"
-115,29.5,0.36,"Loxorhynchus grandis","W-Bch-441602"
-115.5,29,0.19,"Loxorhynchus grandis","W-Bch-441602"
-115,29,1,"Loxorhynchus grandis","W-Bch-441602"
-114.5,29,0.03,"Loxorhynchus grandis","W-Bch-441602"
-114.5,28.5,0.31,"Loxorhynchus grandis","W-Bch-441602"
-114,28,0.2,"Loxorhynchus grandis","W-Bch-441602"
-114,27.5,0.01,"Loxorhynchus grandis","W-Bch-441602"
-114.5,27,0.18,"Loxorhynchus grandis","W-Bch-441602"
-114,27,0.05,"Loxorhynchus grandis","W-Bch-441602"
-113.5,27,0.03,"Loxorhynchus grandis","W-Bch-441602"
-113.5,26.5,0.15,"Loxorhynchus grandis","W-Bch-441602"
-113,26.5,0.15,"Loxorhynchus grandis","W-Bch-441602"
-79,1.5,0.01,"Loxorhynchus grandis","W-Bch-441602"
-79.5,1,0.03,"Loxorhynchus grandis","W-Bch-441602"
-78.5,1,0.01,"Loxorhynchus grandis","W-Bch-441602"
-80,0.5,0.09,"Loxorhynchus grandis","W-Bch-441602"
-79.5,0.5,0.05,"Loxorhynchus grandis","W-Bch-441602"
-91.5,0,0.05,"Loxorhynchus grandis","W-Bch-441602"
-91,0,0.04,"Loxorhynchus grandis","W-Bch-441602"
-80,0,0.13,"Loxorhynchus grandis","W-Bch-441602"
-91,-0.5,0.03,"Loxorhynchus grandis","W-Bch-441602"
-90.5,-0.5,0.06,"Loxorhynchus grandis","W-Bch-441602"
-90,-0.5,0.02,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-0.5,0.14,"Loxorhynchus grandis","W-Bch-441602"
-80,-0.5,0.16,"Loxorhynchus grandis","W-Bch-441602"
-90.5,-1,0.08,"Loxorhynchus grandis","W-Bch-441602"
-90,-1,0.04,"Loxorhynchus grandis","W-Bch-441602"
-89.5,-1,0.04,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-1,0.22,"Loxorhynchus grandis","W-Bch-441602"
-80,-1,0.19,"Loxorhynchus grandis","W-Bch-441602"
-91,-1.5,0.03,"Loxorhynchus grandis","W-Bch-441602"
-90.5,-1.5,0.03,"Loxorhynchus grandis","W-Bch-441602"
-90,-1.5,0.01,"Loxorhynchus grandis","W-Bch-441602"
-81,-1.5,0.3,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-1.5,0.25,"Loxorhynchus grandis","W-Bch-441602"
-81,-2,0.35,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-2,0.29,"Loxorhynchus grandis","W-Bch-441602"
-81,-2.5,0.4,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-2.5,0.32,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-3,0.36,"Loxorhynchus grandis","W-Bch-441602"
-80,-3,0.07,"Loxorhynchus grandis","W-Bch-441602"
-79.5,-3,0.35,"Loxorhynchus grandis","W-Bch-441602"
-81,-3.5,0.1,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-3.5,0.14,"Loxorhynchus grandis","W-Bch-441602"
-79.5,-3.5,0.32,"Loxorhynchus grandis","W-Bch-441602"
-81,-4,0.07,"Loxorhynchus grandis","W-Bch-441602"
-80.5,-4,0.15,"Loxorhynchus grandis","W-Bch-441602"
-70,-23,0.01,"Loxorhynchus grandis","W-Bch-441602"
-70,-23.5,0.25,"Loxorhynchus grandis","W-Bch-441602"
-70,-24,0.47,"Loxorhynchus grandis","W-Bch-441602"
-70,-24.5,0.68,"Loxorhynchus grandis","W-Bch-441602"
-70,-25,0.87,"Loxorhynchus grandis","W-Bch-441602"
-70,-25.5,1,"Loxorhynchus grandis","W-Bch-441602"
-70.5,-27,0.1,"Loxorhynchus grandis","W-Bch-441602"
-70.5,-27.5,0.47,"Loxorhynchus grandis","W-Bch-441602"
-70.5,-28,0.81,"Loxorhynchus grandis","W-Bch-441602"
-71,-29,0.15,"Loxorhynchus grandis","W-Bch-441602"
-71,-29.5,0.45,"Loxorhynchus grandis","W-Bch-441602"
-71,-30,0.7,"Loxorhynchus grandis","W-Bch-441602"
-71,-30.5,0.91,"Loxorhynchus grandis","W-Bch-441602"
-71,-32,0.33,"Loxorhynchus grandis","W-Bch-441602"
-71.5,-32.5,0.07,"Loxorhynchus grandis","W-Bch-441602"
-71,-32.5,1,"Loxorhynchus grandis","W-Bch-441602"
-71.5,-33,0.21,"Loxorhynchus grandis","W-Bch-441602"
-71,-33,0.98,"Loxorhynchus grandis","W-Bch-441602"
-71.5,-33.5,0.33,"Loxorhynchus grandis","W-Bch-441602"
-72,-34,0.2,"Loxorhynchus grandis","W-Bch-441602"
-71.5,-34,0.33,"Loxorhynchus grandis","W-Bch-441602"
-72,-34.5,0.22,"Loxorhynchus grandis","W-Bch-441602"
-71.5,-34.5,0.32,"Loxorhynchus grandis","W-Bch-441602"
-72,-35,0.37,"Loxorhynchus grandis","W-Bch-441602"
-72.5,-35.5,0.37,"Loxorhynchus grandis","W-Bch-441602"
-72,-35.5,0.39,"Loxorhynchus grandis","W-Bch-441602"
-72.5,-36,0.3,"Loxorhynchus grandis","W-Bch-441602"
-73,-36.5,0.92,"Loxorhynchus grandis","W-Bch-441602"
-72.5,-36.5,0.4,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-37,0.89,"Loxorhynchus grandis","W-Bch-441602"
-72.5,-37,0.94,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-37.5,0.78,"Loxorhynchus grandis","W-Bch-441602"
-73,-37.5,0.4,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-38,0.65,"Loxorhynchus grandis","W-Bch-441602"
-73,-38,0.89,"Loxorhynchus grandis","W-Bch-441602"
-74,-38.5,0.65,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-38.5,0.67,"Loxorhynchus grandis","W-Bch-441602"
-73,-38.5,0.88,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-39,0.75,"Loxorhynchus grandis","W-Bch-441602"
-73,-39,0.76,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-39.5,0.8,"Loxorhynchus grandis","W-Bch-441602"
-73,-39.5,0.46,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-40,0.76,"Loxorhynchus grandis","W-Bch-441602"
-73,-40,0.1,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-40.5,0.76,"Loxorhynchus grandis","W-Bch-441602"
-74,-41,0.28,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-41,0.58,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-41.5,0.22,"Loxorhynchus grandis","W-Bch-441602"
-74,-42,0.7,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-42,0.62,"Loxorhynchus grandis","W-Bch-441602"
-74,-42.5,0.48,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-42.5,0.19,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-43,0.06,"Loxorhynchus grandis","W-Bch-441602"
-74,-43,0.31,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-43.5,0.13,"Loxorhynchus grandis","W-Bch-441602"
-74,-43.5,0.12,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-43.5,0.02,"Loxorhynchus grandis","W-Bch-441602"
-73,-43.5,0.02,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-44,0.09,"Loxorhynchus grandis","W-Bch-441602"
-74,-44,0.05,"Loxorhynchus grandis","W-Bch-441602"
-73,-44,0.03,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-44.5,0.17,"Loxorhynchus grandis","W-Bch-441602"
-74,-44.5,0.2,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-45,0.31,"Loxorhynchus grandis","W-Bch-441602"
-74,-45,0.25,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-45,0.08,"Loxorhynchus grandis","W-Bch-441602"
-73,-45,0.05,"Loxorhynchus grandis","W-Bch-441602"
-72.5,-45,0.03,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-45.5,0.39,"Loxorhynchus grandis","W-Bch-441602"
-74,-45.5,0.35,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-45.5,0.11,"Loxorhynchus grandis","W-Bch-441602"
-73,-45.5,0.12,"Loxorhynchus grandis","W-Bch-441602"
-75,-46,0.07,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-46,0.4,"Loxorhynchus grandis","W-Bch-441602"
-74,-46,0.33,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-46,0.27,"Loxorhynchus grandis","W-Bch-441602"
-73,-46,0.18,"Loxorhynchus grandis","W-Bch-441602"
-75,-46.5,0.19,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-46.5,0.33,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-46.5,0.23,"Loxorhynchus grandis","W-Bch-441602"
-75.5,-47,0.04,"Loxorhynchus grandis","W-Bch-441602"
-75,-47,0.24,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-47,0.22,"Loxorhynchus grandis","W-Bch-441602"
-74,-47,0.13,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-47,0.17,"Loxorhynchus grandis","W-Bch-441602"
168.5,-47,0.05,"Loxorhynchus grandis","W-Bch-441602"
-75,-47.5,0.25,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-47.5,0.15,"Loxorhynchus grandis","W-Bch-441602"
-75,-48,0.19,"Loxorhynchus grandis","W-Bch-441602"
-74.5,-48,0.04,"Loxorhynchus grandis","W-Bch-441602"
-74,-48,0.06,"Loxorhynchus grandis","W-Bch-441602"
-73.5,-48,0.05,"Loxorhynchus grandis","W-Bch-441602"
