"long_dd","lat_dd","poccur","species","aquamaps_id"
-123.5,39.5,0.66,"Embiotoca jacksoni","Fis-29937"
-123.5,39,0.67,"Embiotoca jacksoni","Fis-29937"
-123.5,38.5,0.69,"Embiotoca jacksoni","Fis-29937"
-123,38.5,0.74,"Embiotoca jacksoni","Fis-29937"
-123,38,0.61,"Embiotoca jacksoni","Fis-29937"
-122.5,38,0.79,"Embiotoca jacksoni","Fis-29937"
-123,37.5,0.62,"Embiotoca jacksoni","Fis-29937"
-122.5,37.5,0.16,"Embiotoca jacksoni","Fis-29937"
-122,37.5,0.04,"Embiotoca jacksoni","Fis-29937"
-122.5,37,0.19,"Embiotoca jacksoni","Fis-29937"
-122,37,0.9,"Embiotoca jacksoni","Fis-29937"
-122,36.5,1,"Embiotoca jacksoni","Fis-29937"
-121.5,36.5,1,"Embiotoca jacksoni","Fis-29937"
-121.5,36,1,"Embiotoca jacksoni","Fis-29937"
-121,36,1,"Embiotoca jacksoni","Fis-29937"
-121,35.5,1,"Embiotoca jacksoni","Fis-29937"
-120.5,35,1,"Embiotoca jacksoni","Fis-29937"
-120.5,34.5,1,"Embiotoca jacksoni","Fis-29937"
-120,34.5,1,"Embiotoca jacksoni","Fis-29937"
-120,34,1,"Embiotoca jacksoni","Fis-29937"
-119.5,34,1,"Embiotoca jacksoni","Fis-29937"
-119,34,1,"Embiotoca jacksoni","Fis-29937"
-118.5,34,1,"Embiotoca jacksoni","Fis-29937"
-118,34,1,"Embiotoca jacksoni","Fis-29937"
-120,33.5,1,"Embiotoca jacksoni","Fis-29937"
-119.5,33.5,1,"Embiotoca jacksoni","Fis-29937"
-119,33.5,0.28,"Embiotoca jacksoni","Fis-29937"
-118.5,33.5,1,"Embiotoca jacksoni","Fis-29937"
-118,33.5,1,"Embiotoca jacksoni","Fis-29937"
-117.5,33.5,1,"Embiotoca jacksoni","Fis-29937"
-119.5,33,1,"Embiotoca jacksoni","Fis-29937"
-119,33,1,"Embiotoca jacksoni","Fis-29937"
-118.5,33,1,"Embiotoca jacksoni","Fis-29937"
-118,33,1,"Embiotoca jacksoni","Fis-29937"
-117.5,33,1,"Embiotoca jacksoni","Fis-29937"
-117,33,0.99,"Embiotoca jacksoni","Fis-29937"
-118.5,32.5,1,"Embiotoca jacksoni","Fis-29937"
-118,32.5,1,"Embiotoca jacksoni","Fis-29937"
-117,32.5,1,"Embiotoca jacksoni","Fis-29937"
-117,32,1,"Embiotoca jacksoni","Fis-29937"
-116.5,32,1,"Embiotoca jacksoni","Fis-29937"
-116.5,31.5,1,"Embiotoca jacksoni","Fis-29937"
-116.5,31,0.95,"Embiotoca jacksoni","Fis-29937"
-116,31,1,"Embiotoca jacksoni","Fis-29937"
-116,30.5,1,"Embiotoca jacksoni","Fis-29937"
-115.5,30.5,0.31,"Embiotoca jacksoni","Fis-29937"
-116,30,1,"Embiotoca jacksoni","Fis-29937"
-115.5,30,0.81,"Embiotoca jacksoni","Fis-29937"
-115.5,29.5,1,"Embiotoca jacksoni","Fis-29937"
-115,29.5,0.5,"Embiotoca jacksoni","Fis-29937"
-118,29,1,"Embiotoca jacksoni","Fis-29937"
-115,29,1,"Embiotoca jacksoni","Fis-29937"
-114.5,29,0.13,"Embiotoca jacksoni","Fis-29937"
-118,28.5,0.77,"Embiotoca jacksoni","Fis-29937"
-114.5,28.5,0.31,"Embiotoca jacksoni","Fis-29937"
-115.5,28,1,"Embiotoca jacksoni","Fis-29937"
-115,28,1,"Embiotoca jacksoni","Fis-29937"
-114.5,28,1,"Embiotoca jacksoni","Fis-29937"
-115,27.5,1,"Embiotoca jacksoni","Fis-29937"
-114.5,27.5,0.94,"Embiotoca jacksoni","Fis-29937"
-114.5,27,0.28,"Embiotoca jacksoni","Fis-29937"
