"long_dd","lat_dd","poccur","species","aquamaps_id"
-178.5,59.5,0.09,"Scomber japonicus","Fis-29507"
-178,59.5,0.06,"Scomber japonicus","Fis-29507"
-177.5,59.5,0.04,"Scomber japonicus","Fis-29507"
-177,59.5,0.03,"Scomber japonicus","Fis-29507"
-176.5,59.5,0.01,"Scomber japonicus","Fis-29507"
-176,59.5,0.01,"Scomber japonicus","Fis-29507"
-153.5,59.5,0.12,"Scomber japonicus","Fis-29507"
-153,59.5,0.19,"Scomber japonicus","Fis-29507"
-152.5,59.5,0.18,"Scomber japonicus","Fis-29507"
-152,59.5,0.16,"Scomber japonicus","Fis-29507"
-151.5,59.5,0.17,"Scomber japonicus","Fis-29507"
-151,59.5,0.18,"Scomber japonicus","Fis-29507"
-150.5,59.5,0.23,"Scomber japonicus","Fis-29507"
-150,59.5,0.32,"Scomber japonicus","Fis-29507"
-149.5,59.5,0.49,"Scomber japonicus","Fis-29507"
-149,59.5,0.52,"Scomber japonicus","Fis-29507"
-148.5,59.5,0.53,"Scomber japonicus","Fis-29507"
-148,59.5,0.53,"Scomber japonicus","Fis-29507"
-147.5,59.5,0.54,"Scomber japonicus","Fis-29507"
-147,59.5,0.57,"Scomber japonicus","Fis-29507"
-146.5,59.5,0.59,"Scomber japonicus","Fis-29507"
-146,59.5,0.59,"Scomber japonicus","Fis-29507"
-145.5,59.5,0.59,"Scomber japonicus","Fis-29507"
-145,59.5,0.59,"Scomber japonicus","Fis-29507"
-144.5,59.5,0.57,"Scomber japonicus","Fis-29507"
-144,59.5,0.56,"Scomber japonicus","Fis-29507"
-143.5,59.5,0.61,"Scomber japonicus","Fis-29507"
-143,59.5,0.62,"Scomber japonicus","Fis-29507"
-142.5,59.5,0.62,"Scomber japonicus","Fis-29507"
-142,59.5,0.62,"Scomber japonicus","Fis-29507"
-141.5,59.5,0.6,"Scomber japonicus","Fis-29507"
-141,59.5,0.58,"Scomber japonicus","Fis-29507"
-140.5,59.5,0.56,"Scomber japonicus","Fis-29507"
-140,59.5,0.54,"Scomber japonicus","Fis-29507"
-139.5,59.5,0.53,"Scomber japonicus","Fis-29507"
-139,59.5,0.29,"Scomber japonicus","Fis-29507"
-138.5,59.5,0.01,"Scomber japonicus","Fis-29507"
163.5,59.5,0.01,"Scomber japonicus","Fis-29507"
164,59.5,0.02,"Scomber japonicus","Fis-29507"
164.5,59.5,0.03,"Scomber japonicus","Fis-29507"
165,59.5,0.03,"Scomber japonicus","Fis-29507"
165.5,59.5,0.05,"Scomber japonicus","Fis-29507"
166,59.5,0.06,"Scomber japonicus","Fis-29507"
166.5,59.5,0.07,"Scomber japonicus","Fis-29507"
167,59.5,0.08,"Scomber japonicus","Fis-29507"
167.5,59.5,0.1,"Scomber japonicus","Fis-29507"
168,59.5,0.11,"Scomber japonicus","Fis-29507"
170,59.5,0.06,"Scomber japonicus","Fis-29507"
170.5,59.5,0.05,"Scomber japonicus","Fis-29507"
171,59.5,0.06,"Scomber japonicus","Fis-29507"
-178,59,0.12,"Scomber japonicus","Fis-29507"
-177.5,59,0.1,"Scomber japonicus","Fis-29507"
-177,59,0.08,"Scomber japonicus","Fis-29507"
-176.5,59,0.06,"Scomber japonicus","Fis-29507"
-176,59,0.04,"Scomber japonicus","Fis-29507"
-175.5,59,0.04,"Scomber japonicus","Fis-29507"
-175,59,0.03,"Scomber japonicus","Fis-29507"
-174.5,59,0.02,"Scomber japonicus","Fis-29507"
-174,59,0.01,"Scomber japonicus","Fis-29507"
-163.5,59,0.01,"Scomber japonicus","Fis-29507"
-163,59,0.01,"Scomber japonicus","Fis-29507"
-162.5,59,0.01,"Scomber japonicus","Fis-29507"
-160.5,59,0.03,"Scomber japonicus","Fis-29507"
-160,59,0.03,"Scomber japonicus","Fis-29507"
-154,59,0.13,"Scomber japonicus","Fis-29507"
-153.5,59,0.15,"Scomber japonicus","Fis-29507"
-153,59,0.25,"Scomber japonicus","Fis-29507"
-152.5,59,0.31,"Scomber japonicus","Fis-29507"
-152,59,0.34,"Scomber japonicus","Fis-29507"
-151.5,59,0.36,"Scomber japonicus","Fis-29507"
-151,59,0.44,"Scomber japonicus","Fis-29507"
-150.5,59,0.49,"Scomber japonicus","Fis-29507"
-150,59,0.51,"Scomber japonicus","Fis-29507"
-149.5,59,0.53,"Scomber japonicus","Fis-29507"
-149,59,0.55,"Scomber japonicus","Fis-29507"
-148.5,59,0.56,"Scomber japonicus","Fis-29507"
-148,59,0.57,"Scomber japonicus","Fis-29507"
-147.5,59,0.57,"Scomber japonicus","Fis-29507"
-147,59,0.58,"Scomber japonicus","Fis-29507"
-146.5,59,0.59,"Scomber japonicus","Fis-29507"
-146,59,0.59,"Scomber japonicus","Fis-29507"
-145.5,59,0.6,"Scomber japonicus","Fis-29507"
-145,59,0.29,"Scomber japonicus","Fis-29507"
-142,59,0.63,"Scomber japonicus","Fis-29507"
-141.5,59,0.64,"Scomber japonicus","Fis-29507"
-141,59,0.65,"Scomber japonicus","Fis-29507"
-140.5,59,0.65,"Scomber japonicus","Fis-29507"
-140,59,0.65,"Scomber japonicus","Fis-29507"
-139.5,59,0.59,"Scomber japonicus","Fis-29507"
-139,59,0.49,"Scomber japonicus","Fis-29507"
-138.5,59,0.52,"Scomber japonicus","Fis-29507"
-138,59,0.48,"Scomber japonicus","Fis-29507"
-137,59,0.01,"Scomber japonicus","Fis-29507"
-136.5,59,0.02,"Scomber japonicus","Fis-29507"
-136,59,0.01,"Scomber japonicus","Fis-29507"
-135.5,59,0.01,"Scomber japonicus","Fis-29507"
-135,59,0.28,"Scomber japonicus","Fis-29507"
142.5,59,0.03,"Scomber japonicus","Fis-29507"
143,59,0.04,"Scomber japonicus","Fis-29507"
