"","comm_name","species","n","toxins","states","sources"
"33","Mediterranean/blue mussels","Mytilus galloprovincialis/edulis",252,"PST, DA","CA",""
"34","Mixed clam","Clam spp.",15,"PST","WA",""
"35","Moon snail","Neverita lewisii",7,"PST, DA","WA",""
"36","Northern anchovy","Engraulis mordax",180,"DA","CA","wild"
"37","Northern kelp crab","Pugettia producta",2,"PST, DA","WA",""
"38","Nuttall's cockle","Clinocardium nuttallii",479,"PST, DA, DST","CA, OR, WA","wild"
"39","Olympia oyster","Ostrea lurida",6,"PST","WA",""
"40","Other","Unknown spp.",32,"PST, DA, DST","WA",""
"41","Other crab","Crab spp.",3,"PST, DA","WA",""
"42","Pacific blue mussel","Mytilus trossulus",71598,"PST, DST","WA",""
"43","Pacific gaper clam","Tresus nuttallii",96,"PST, DA","CA","wild"
"44","Pacific lamprey","Entosphenus tridentatus",3,"DA","CA","wild"
"45","Pacific mackerel","Scomber japonicus",4,"DA","CA","wild"
"46","Pacific oyster","Magallana gigas",35917,"PST, DA, DST","CA, WA","cultured, sentinel"
"47","Pacific sardine","Sardinops sagax",214,"DA","CA","wild"
"48","Pile surfperch","Rhacochilus vacca",4,"DA","CA","wild"
"49","Pink scallop","Chlamys rubida",2138,"PST, DA, DST","WA",""
"50","Pinto abalone","Haliotis kamtschatkana",1,"PST","WA",""
"51","Pismo clam","Tivela stultorum",193,"PST, DA","CA","wild"
"52","Purple clam","Nuttallia nuttallii",1,"PST","CA","wild"
"53","Purple varnish clam","Nuttallia obscurata",749,"PST, DA, DST","OR, WA",""
"54","Razor clam","Siliqua patula",26425,"PST, DA, DST","CA, OR, WA","wild"
"55","Red abalone","Haliotis rufescens",8,"DA","CA","wild"
"56","Rock crab","Cancer spp.",949,"DA","CA","wild"
"57","Rock oyster","Saccostrea glomerata",1,"PST","WA",""
"58","Rock scallop","Crassadoma gigantea",332,"PST, DA, DST","CA, WA","wild, cultured"
"59","Salmon","Salmon spp.",9,"DA","CA","wild"
"60","Sand clam(macoma)","????",21,"PST","WA",""
"61","Sea cucumber","Apostichopus californicus",3,"PST","WA",""
"62","Sea urchin","Urchin spp.",4,"PST, DA","WA",""
"63","Sheep crab","Loxorhynchus grandis",17,"DA","CA","wild"
"64","Shiner surfperch","Cymatogaster aggregata",2,"DA","CA","wild"
"65","Shrimp","Shrimp spp.",1,"DA","CA","wild"
"66","Softshell clam","Mya arenaria",388,"PST, DA, DST","OR, WA",""
"67","Squid","Squid spp.",1,"DA","CA","wild"
"68","Thinshell littleneck","Protothaca tenerrima",4,"PST","WA",""
"69","Thornback guitarfish","Platyrhinoidis triseriata",2,"DA","CA","wild"
"70","Unidentified clam","Bivalvia spp.",3,"DA","CA","wild"
"71","Unidentified clam","Clam spp.",27,"PST","CA","wild"
"72","Unidentified mussel","Mussel spp.",166,"PST","CA","cultured"
"73","Unidentified oyster","Oyster spp.",22,"PST","CA",""
"74","Unknown clam","Clam spp.",10,"PST","WA",""
"75","Unspecified clam","Clam spp.",8,"PST","OR",""
"76","Venus clam","Clam spp.",8,"PST","WA",""
"77","Virginica oyster","Crassostrea virginica",26,"PST, DA","WA",""
"78","Washington clam","Saxidomus nuttalli",271,"PST, DA","CA","wild"
"79","Weathervane scallop","Patinopecten caurinus",8,"PST, DA","WA",""
