"","comm_name","species","n","toxins","states","sources"
"1","Barnacle","Barnacle spp.",26,"PST, DA, DST","WA",""
"2","Barred surfperch","Amphistichus argenteus",8,"DA","CA","wild"
"3","Bent-nose clam","Macoma nasuta",25,"PST","CA, WA","wild"
"4","Black surfperch","Embiotoca jacksoni",6,"DA","CA","wild"
"5","Blue mussel","Mytilus edulis",9383,"PST","CA","wild, cultured, sentinel"
"6","Blue mussel","Mytilus trossulus",34059,"DA","WA",""
"7","Burrowing shrimp","Burrowing shrimp spp.",1,"PST","WA",""
"8","Butter clam","Saxidomus gigantea",14399,"PST, DA, DST","OR, WA",""
"9","California grunion","Leuresthes tenuis",2,"DA","CA","wild"
"10","California mussel","Mytilus californianus",45132,"PST, DA, DST","CA, OR, WA","sentinel, wild, cultured"
"11","California spiny lobster","Panulirus interruptus",42,"DA","CA","wild"
"12","California yellowtail","Seriola lalandi",1,"DA","CA","wild"
"13","Chiton","Chiton spp.",4,"PST, DA","WA",""
"14","Dungeness crab","Metacarcinus magister",16582,"PST, DA, DST","OR, WA, CA","wild"
"15","European flat oyster","Ostrea edulis",274,"PST, DA","WA",""
"16","Fat gaper clam","Tresus capax",755,"PST, DA, DST","CA, OR, WA","wild"
"17","Fin fin","Unknown spp.",20,"PST, DA","WA",""
"18","Geoduck","Panopea generosa",12765,"PST, DA, DST","WA",""
"19","Gooseneck barnacle","Pollicipes polymerus",2,"DA","CA","wild"
"20","Hairy triton","Monoplex pilearis",2,"PST","WA",""
"21","Horse mussel","Modiolus modiolus",55,"PST, DA, DST","WA",""
"22","Jack knife clam","Tagelus californianus",1,"PST","WA",""
"23","Jack mackerel","Trachurus symmetricus",3,"DA","CA","wild"
"24","Jacksmelt","Atherinopsis californiensis",2,"DA","CA","wild"
"25","Kumamoto oyster","Magallana sikamea",104,"PST, DA, DST","CA, WA","cultured"
"26","Limpet","Limpet spp.",1,"PST","WA",""
"27","Littleneck clam","Leukoma staminea",11550,"PST, DA, DST","CA, OR, WA","wild"
"28","Mackeral","Mackerel spp.",8,"DA","CA","wild"
"29","Manila clam","Ruditapes philippinarum",6849,"PST, DA, DST","CA, WA","wild"
"30","Market squid","Doryteuthis opalescens",17,"DA","CA","wild"
"31","Mediterranean mussel","Mytilus galloprovincialis",2446,"PST, DA","CA","cultured"
"32","Mediterranean/Pacific blue/blue mussels","Mytilus galloprovincialis/trossulus/edulis",1250,"PST, DA","CA","wild, sentinel"
